RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Forum voor Democratie;VVD;CDA;GROENLINKS;Partij van de Arbeid (P.v.d.A.);Democraten 66 (D66);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS/PARTIJ VAN DE OUDEREN;Lokaal Brabant;Code Oranje;Fryske Nasjonale Partij (FNP);ChristenUnie/SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JEZUS LEEFT;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!
Epe;G0232;10940;Gelderland;P25;26473;15951;32;43;15876;2212;2258;1904;1478;1408;814;1073;690;1388;678;697;867;180;;;;;;;;;;;193;;;;;;;;;;36;;;
Ermelo;G0233;10732;Gelderland;P25;21092;13231;14;35;13182;1764;1583;2210;880;653;572;601;401;2305;437;410;1185;33;;;;;;;;;;;112;;;;;;;;;;36;;;
Etten-Leur;G0777;10750;Noord-Brabant;P30;33385;16781;55;35;16691;2524;2699;2468;1364;1049;1212;1522;1200;;503;694;;298;;626;40;;201;;;;;;;;;198;;93;;;;;;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;16909;8625;27;26;8572;1581;1416;1008;628;626;455;939;697;;255;398;;20;;237;85;;99;;;;;;;;;77;;51;;;;;;;;
Geldrop-Mierlo;G1771;10529;Noord-Brabant;P30;30645;16448;30;75;16343;2427;2314;1996;1568;1162;1424;1340;1529;;678;831;;118;;395;32;;241;;;;;;;;;163;;125;;;;;;;;
Gemert-Bakel;G1652;10277;Noord-Brabant;P30;23293;12580;31;49;12500;1766;1754;3035;720;540;716;1037;1545;;379;477;;25;;238;22;;66;;;;;;;;;118;;62;;;;;;;;
Gennep;G0907;10542;Limburg;P31;13556;7159;14;34;7111;973;909;1450;574;653;502;489;985;62;238;197;;22;;;;;;;57;;;;;;;;;;;;;;;;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;20286;10844;29;36;10779;1689;1720;1402;838;958;836;755;875;;339;562;;209;;308;29;;87;;;;;;;;;116;;56;;;;;;;;
Goeree-Overflakkee;G1924;11067;Zuid-Holland;P28;39089;24585;65;44;24476;4584;3184;2106;712;1623;587;1712;822;2446;608;889;4880;12;;;67;;;;;;203;8;;;;;;;;;;;33;;;
Goes;G0664;10674;Zeeland;P29;29821;17602;41;32;17529;1798;1695;3926;1297;1588;824;937;892;948;656;804;1394;64;;;;;;;;;;;;706;;;;;;;;;;;;
Goirle;G0785;10971;Noord-Brabant;P30;18585;10364;26;33;10305;1411;1778;1228;1027;750;1080;688;1030;;401;409;;40;;221;18;;64;;;;;;;;;99;;61;;;;;;;;
Gooise Meren;G1942;10281;Noord-Holland;P27;42456;27330;44;76;27210;3227;6782;2294;3445;2229;3590;1013;763;1015;1389;;;135;835;;296;;;;;151;;46;;;;;;;;;;;;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;27536;14386;47;33;14306;2157;2236;1032;1167;1197;1089;965;1054;1115;550;512;439;534;;;108;;;;;;78;40;;;;;;;;;;;33;;;
Gouda;G0513;10302;Zuid-Holland;P28;54945;32558;134;82;32342;4368;3806;2123;3919;2822;3023;1897;1367;3220;1563;1314;1755;734;;;95;;;;;;224;112;;;;;;;;;;;;;;
Grave;G0786;10165;Noord-Brabant;P30;9746;5437;16;22;5399;859;782;769;410;348;384;368;592;;170;174;;4;;404;20;;51;;;;;;;;;40;;24;;;;;;;;
Groningen;G0014;10426;Groningen;P20;177624;102715;217;251;102247;7955;9823;5431;20940;12894;11163;3634;7821;7559;6069;1628;;398;;;;;;3636;;;;;;;3296;;;;;;;;;;;
Gulpen-Wittem;G1729;11032;Limburg;P31;11843;6877;17;31;6829;930;545;1732;775;392;335;803;477;69;330;248;;8;;;;;;;185;;;;;;;;;;;;;;;;;
Haaksbergen;G0158;11435;Overijssel;P23;19198;11356;29;47;11280;1756;1794;2677;668;1049;676;820;653;190;249;552;50;146;;;;;;;;;;;;;;;;;;;;;;;;
Haaren;G0788;11155;Noord-Brabant;P30;11416;6250;8;26;6216;740;1118;1237;530;322;548;344;456;;237;202;;10;;327;14;;46;;;;;;;;;58;;27;;;;;;;;
Haarlem;G0392;10357;Noord-Holland;P27;117251;67815;224;189;67402;7531;8065;3181;13443;8186;8238;3223;3276;2031;5054;;;1331;1751;;1086;;;;;732;;274;;;;;;;;;;;;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;112745;60057;190;116;59751;12774;10427;5039;6006;4594;4548;4173;2241;2888;2422;;;603;2116;;896;;;;;725;;299;;;;;;;;;;;;;;
Halderberge;G1655;10397;Noord-Brabant;P30;23526;11840;26;17;11797;2037;2064;1805;690;611;604;1249;954;;345;493;;104;;410;24;;131;;;;;;;;;72;;204;;;;;;;;
